asset_id,asset_type,asset_name,home_section_id,location_station,status,capacity
RA273,Rail Crane,Rail Crane Unit 273,DHNE-KRNT,DHNE,Available,40 tonnes
BA274,Ballast Regulator,Ballast Regulator Unit 274,BZN-GGTA,BZN,Available,3 km/hr
TA275,Tamping Machine,Tamping Machine Unit 275,G-NGP,G,Available,2.5 km/hr
RA276,Rail Crane,Rail Crane Unit 276,BDC-BWN,BDC,Available,40 tonnes
RA277,Rail Crane,Rail Crane Unit 277,BDC-HGY,BDC,Available,40 tonnes
RA278,Rail Crane,Rail Crane Unit 278,BH-BRC,BH,Available,40 tonnes
DY279,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 279,BHGH-BHNA,BHGH,Available,1.8 km/hr
TA280,Tamping Machine,Tamping Machine Unit 280,CDH-PXR,CDH,Available,2.5 km/hr
DY281,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 281,DSB-NDLS,DSB,Available,1.8 km/hr
TA282,Tamping Machine,Tamping Machine Unit 282,BRJ-MJT,BRJ,Available,2.5 km/hr
TA283,Tamping Machine,Tamping Machine Unit 283,BHC-BLS,BHC,In Use,2.5 km/hr
TO284,Tower Wagon,Tower Wagon Unit 284,KYN-VLDI,KYN,Available,6m reach
TA285,Tamping Machine,Tamping Machine Unit 285,SUNR-VG,SUNR,Available,2.5 km/hr
RA286,Rail Crane,Rail Crane Unit 286,KBT-TRL,KBT,Available,40 tonnes
TO287,Tower Wagon,Tower Wagon Unit 287,BNAA-CDP,BNAA,In Use,6m reach
TO288,Tower Wagon,Tower Wagon Unit 288,MUE-NED,MUE,Available,6m reach
TA289,Tamping Machine,Tamping Machine Unit 289,BVH-FDN,BVH,Available,2.5 km/hr
RA290,Rail Crane,Rail Crane Unit 290,BRC-GDA,BRC,Available,40 tonnes
TA291,Tamping Machine,Tamping Machine Unit 291,DHD-MGN,DHD,In Use,2.5 km/hr
TA292,Tamping Machine,Tamping Machine Unit 292,PRES-PRWS,PRES,Available,2.5 km/hr
BA293,Ballast Regulator,Ballast Regulator Unit 293,KLVA-MBQ,KLVA,In Use,3 km/hr
OH294,OHE Maintenance Special,OHE Maintenance Special Unit 294,OYR-UDL,OYR,Under Repair,N/A
RA295,Rail Crane,Rail Crane Unit 295,SRT-VPT,SRT,Available,40 tonnes
OH296,OHE Maintenance Special,OHE Maintenance Special Unit 296,BY-CSMT,BY,Available,N/A
BA297,Ballast Regulator,Ballast Regulator Unit 297,BL-NVS,BL,Available,3 km/hr
OH298,OHE Maintenance Special,OHE Maintenance Special Unit 298,BBQ-KOK,BBQ,Available,N/A
BA299,Ballast Regulator,Ballast Regulator Unit 299,CSMT-MSD,CSMT,In Use,3 km/hr
BA300,Ballast Regulator,Ballast Regulator Unit 300,ASN-RNG,ASN,Available,3 km/hr
OH301,OHE Maintenance Special,OHE Maintenance Special Unit 301,BKI-DO,BKI,In Use,N/A
TA302,Tamping Machine,Tamping Machine Unit 302,AIP-NPKM,AIP,Available,2.5 km/hr
RA303,Rail Crane,Rail Crane Unit 303,BBT-DGNR,BBT,Available,40 tonnes
BA304,Ballast Regulator,Ballast Regulator Unit 304,PNBE-RJPB,PNBE,Available,3 km/hr
TO305,Tower Wagon,Tower Wagon Unit 305,GGC-SWM,GGC,Available,6m reach
RA306,Rail Crane,Rail Crane Unit 306,BARH-MKA,BARH,Available,40 tonnes
RA307,Rail Crane,Rail Crane Unit 307,JHS-LAR,JHS,Available,40 tonnes
RA308,Rail Crane,Rail Crane Unit 308,BNXR-DDJ,BNXR,In Use,40 tonnes
DY309,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 309,ABU-VLK,ABU,Available,1.8 km/hr
TA310,Tamping Machine,Tamping Machine Unit 310,AKV-BH,AKV,Available,2.5 km/hr
OH311,OHE Maintenance Special,OHE Maintenance Special Unit 311,KCG-MXT,KCG,Available,N/A
OH312,OHE Maintenance Special,OHE Maintenance Special Unit 312,CNB-CPB,CNB,Available,N/A
OH313,OHE Maintenance Special,OHE Maintenance Special Unit 313,ADI-SBI,ADI,Available,N/A
BA314,Ballast Regulator,Ballast Regulator Unit 314,JRC-PGW,JRC,Available,3 km/hr
DY315,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 315,FDB-TKD,FDB,Available,1.8 km/hr
TO316,Tower Wagon,Tower Wagon Unit 316,CPR-SV,CPR,In Use,6m reach
TO317,Tower Wagon,Tower Wagon Unit 317,CGR-CNS,CGR,Available,6m reach
OH318,OHE Maintenance Special,OHE Maintenance Special Unit 318,BBLA-BSHT,BBLA,Available,N/A
DY319,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 319,BPL-ET,BPL,Available,1.8 km/hr
RA320,Rail Crane,Rail Crane Unit 320,CAN-TLY,CAN,In Use,40 tonnes
DY321,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 321,LDH-UMB,LDH,In Use,1.8 km/hr
DY322,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 322,PAU-PBN,PAU,In Use,1.8 km/hr
BA323,Ballast Regulator,Ballast Regulator Unit 323,HWH-KGP,HWH,In Use,3 km/hr
BA324,Ballast Regulator,Ballast Regulator Unit 324,AJJ-PLMG,AJJ,Available,3 km/hr
TA325,Tamping Machine,Tamping Machine Unit 325,BLN-SDAH,BLN,Under Repair,2.5 km/hr
TO326,Tower Wagon,Tower Wagon Unit 326,ET-HBD,ET,Available,6m reach
DY327,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 327,NMF-RSLR,NMF,Available,1.8 km/hr
DY328,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 328,DWX-INDB,DWX,In Use,1.8 km/hr
RA329,Rail Crane,Rail Crane Unit 329,BCGM-SLG,BCGM,Available,40 tonnes
TO330,Tower Wagon,Tower Wagon Unit 330,BEAS-JUC,BEAS,Available,6m reach
DY331,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 331,FM-HPG,FM,Available,1.8 km/hr
BA332,Ballast Regulator,Ballast Regulator Unit 332,BH-BRC,BH,Available,3 km/hr
OH333,OHE Maintenance Special,OHE Maintenance Special Unit 333,AKRA-SSP,AKRA,Available,N/A
RA334,Rail Crane,Rail Crane Unit 334,HAPA-RJT,HAPA,Under Repair,40 tonnes
TO335,Tower Wagon,Tower Wagon Unit 335,ABB-SEL,ABB,Available,6m reach
TO336,Tower Wagon,Tower Wagon Unit 336,NVS-ST,NVS,Available,6m reach
RA337,Rail Crane,Rail Crane Unit 337,HLR-NH,HLR,In Use,40 tonnes
OH338,OHE Maintenance Special,OHE Maintenance Special Unit 338,DSB-NDLS,DSB,In Use,N/A
RA339,Rail Crane,Rail Crane Unit 339,BP-PTF,BP,Available,40 tonnes
RA340,Rail Crane,Rail Crane Unit 340,BARH-BKP,BARH,In Use,40 tonnes
TA341,Tamping Machine,Tamping Machine Unit 341,BNXR-SDAH,BNXR,Available,2.5 km/hr
BA342,Ballast Regulator,Ballast Regulator Unit 342,BPAE-JOX,BPAE,In Use,3 km/hr
OH343,OHE Maintenance Special,OHE Maintenance Special Unit 343,KOTR-VLK,KOTR,Available,N/A
BA344,Ballast Regulator,Ballast Regulator Unit 344,RJY-VSKP,RJY,Available,3 km/hr
DY345,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 345,BGF-DBP,BGF,Under Repair,1.8 km/hr
DY346,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 346,APB-PON,APB,Available,1.8 km/hr
OH347,OHE Maintenance Special,OHE Maintenance Special Unit 347,AGC-GWL,AGC,Available,N/A
BA348,Ballast Regulator,Ballast Regulator Unit 348,IP-PTF,IP,Available,3 km/hr
BA349,Ballast Regulator,Ballast Regulator Unit 349,DHD-MGN,DHD,Available,3 km/hr
TO350,Tower Wagon,Tower Wagon Unit 350,DHD-GDA,DHD,Available,6m reach
TO351,Tower Wagon,Tower Wagon Unit 351,NAD-RTM,NAD,In Use,6m reach
OH352,OHE Maintenance Special,OHE Maintenance Special Unit 352,MB-RMU,MB,In Use,N/A
DY353,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 353,CPR-SV,CPR,Available,1.8 km/hr
RA354,Rail Crane,Rail Crane Unit 354,MDBP-MPRD,MDBP,Available,40 tonnes
BA355,Ballast Regulator,Ballast Regulator Unit 355,RJY-SLO,RJY,Available,3 km/hr
DY356,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 356,KBT-TRL,KBT,Available,1.8 km/hr
OH357,OHE Maintenance Special,OHE Maintenance Special Unit 357,HAPA-JAM,HAPA,In Use,N/A
BA358,Ballast Regulator,Ballast Regulator Unit 358,KHN-PDA,KHN,Available,3 km/hr
OH359,OHE Maintenance Special,OHE Maintenance Special Unit 359,BOP-NPMR,BOP,Available,N/A
RA360,Rail Crane,Rail Crane Unit 360,DAPD-KK,DAPD,Available,40 tonnes
TA361,Tamping Machine,Tamping Machine Unit 361,KPA-KYI,KPA,In Use,2.5 km/hr
OH362,OHE Maintenance Special,OHE Maintenance Special Unit 362,BNAA-CDP,BNAA,Available,N/A
RA363,Rail Crane,Rail Crane Unit 363,HWH-TPKR,HWH,Available,40 tonnes
TO364,Tower Wagon,Tower Wagon Unit 364,DTAE-SMAE,DTAE,Under Repair,6m reach
OH365,OHE Maintenance Special,OHE Maintenance Special Unit 365,MTMY-VLCY,MTMY,Available,N/A
OH366,OHE Maintenance Special,OHE Maintenance Special Unit 366,CDNR-HFZ,CDNR,Available,N/A
RA367,Rail Crane,Rail Crane Unit 367,DGR-OYR,DGR,Available,40 tonnes
OH368,OHE Maintenance Special,OHE Maintenance Special Unit 368,CBE-PGT,CBE,Available,N/A
DY369,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 369,DPDP-SJPR,DPDP,In Use,1.8 km/hr
RA370,Rail Crane,Rail Crane Unit 370,BE-SPN,BE,Available,40 tonnes
DY371,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 371,DR-TNA,DR,Under Repair,1.8 km/hr
OH372,OHE Maintenance Special,OHE Maintenance Special Unit 372,DHNE-KRNT,DHNE,Available,N/A
RA373,Rail Crane,Rail Crane Unit 373,BHPA-MGT,BHPA,Available,40 tonnes
DY374,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 374,MAS-PER,MAS,Available,1.8 km/hr
RA375,Rail Crane,Rail Crane Unit 375,AGAE-PTAE,AGAE,Available,40 tonnes
RA376,Rail Crane,Rail Crane Unit 376,MSH-PNU,MSH,Available,40 tonnes
BA377,Ballast Regulator,Ballast Regulator Unit 377,JNM-MPRD,JNM,Available,3 km/hr
RA378,Rail Crane,Rail Crane Unit 378,CGR-MUU,CGR,Available,40 tonnes
DY379,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 379,BGJT-JDP,BGJT,Available,1.8 km/hr
DY380,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 380,BBAE-SHE,BBAE,Available,1.8 km/hr
BA381,Ballast Regulator,Ballast Regulator Unit 381,BUD-VGI,BUD,Available,3 km/hr
OH382,OHE Maintenance Special,OHE Maintenance Special Unit 382,DVD-VSKP,DVD,Available,N/A
BA383,Ballast Regulator,Ballast Regulator Unit 383,KYN-TLA,KYN,In Use,3 km/hr
OH384,OHE Maintenance Special,OHE Maintenance Special Unit 384,KVP-PON,KVP,Available,N/A
RA385,Rail Crane,Rail Crane Unit 385,OTP-PGT,OTP,Available,40 tonnes
BA386,Ballast Regulator,Ballast Regulator Unit 386,SRE-UMB,SRE,Under Repair,3 km/hr
RA387,Rail Crane,Rail Crane Unit 387,TVT-WCN,TVT,In Use,40 tonnes
RA388,Rail Crane,Rail Crane Unit 388,BRC-ST,BRC,Available,40 tonnes
DY389,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 389,BE-SPN,BE,Available,1.8 km/hr
OH390,OHE Maintenance Special,OHE Maintenance Special Unit 390,BCK-DUAN,BCK,Available,N/A
RA391,Rail Crane,Rail Crane Unit 391,MYM-NMF,MYM,Available,40 tonnes
DY392,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 392,BBT-DGNR,BBT,Under Repair,1.8 km/hr
BA393,Ballast Regulator,Ballast Regulator Unit 393,FUT-KOO,FUT,Available,3 km/hr
TA394,Tamping Machine,Tamping Machine Unit 394,BAM-CAP,BAM,Available,2.5 km/hr
OH395,OHE Maintenance Special,OHE Maintenance Special Unit 395,MPK-MSF,MPK,Available,N/A
TA396,Tamping Machine,Tamping Machine Unit 396,AME-PBH,AME,Available,2.5 km/hr
RA397,Rail Crane,Rail Crane Unit 397,KTE-MYR,KTE,Available,40 tonnes
DY398,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 398,BP-PTF,BP,Available,1.8 km/hr
DY399,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 399,BGB-NAI,BGB,Available,1.8 km/hr
RA400,Rail Crane,Rail Crane Unit 400,BARN-DDJ,BARN,Available,40 tonnes
